id,ra,dec
31,7.442222,39.15889
32,7.458889,38.75944
33,20.15472,29.54028
34,36.86028,41.65889
45,53.45111,23.37806
38,78.17,36.1975 
1,80.00917,21.7575
36,80.195,34.135
42,80.99444,-5.568333
43,81.05,-5.443611
37,84.25333,32.1975
35,88.66917,24.55833
41,98.97,-20.55
50,102.9578,-7.961667
46,112.795,-14.31861
47,116.0661,-14.83556
48,120.6,-1.278333
67,129.1158,12.61056
65,166.8483,14.26889
66,167.1942,14.20583
40,182.7583,59.39722
49,184.4494,9.269167
58,186.6231,13.045
68,186.9092,-25.50556
59,187.6939,12.87667
60,188.1147,12.76722
64,191.4606,22.87528
63,196.0917,43.21028
51,200.0967,48.40667
3,202.8553,29.54917
5,226.6511,2.954444
44,126.8417,20.52722
4,242.2822,-25.92778
13,248.2822,-25.92778
12,248.7194,-1.507778
10,251.2017,-3.705
62,251.8067,-29.75833
19,252.0292,-25.91278
9,256.3433,-18.22389
6,261.1775,-32.17611
14,261.3081,-3.095833
7,264.5067,-34.67611
23,265.7139,-18.76528
20,267.0681,-22.98611
8,267.4917,-24.35278
21,267.5264,-22.52361
24,270.4333,-18.43333
16,271.2508,-13.86222
18,271.5675,-17.22056
17,271.7633,-16.24556
28,272.4917,-24.95306
69,274.1961,-32.52917
25,274.4167,-19.08333
22,275.4775,-24.10306
70,277.2211,-32.51861
26,278.0903,-9.637222
11,279.5953,-6.516944
54,280.2153,-30.73361
57,281.3356,32.7675
61,182.7014,5.701389
56,287.0003,29.80389
55,291.5072,-31.44083
53,195.5072,19.37889
27,297.3614,22.06667
29,303.9081,37.19917
15,319.6719,10.6675
2,320.2833,-1.783333
39,320.9528,47.41667
30,321.7717,-24.31778
52,348.6575,60.37

